data,hora,taxa
2024/11/14,19:29:41,10.93
2024/11/14,19:29:44,10.93
2024/11/14,19:29:46,10.93
2024/11/14,19:29:48,10.93
2024/11/14,19:29:50,10.93
2024/11/14,19:29:52,10.93
2024/11/14,19:29:55,10.93
2024/11/14,19:31:12,10.93
2024/11/14,19:31:14,10.93
2024/11/14,19:31:17,10.93
2024/11/14,19:31:25,10.93
2024/11/14,19:31:28,10.93
2024/11/14,19:31:30,10.93
2024/11/14,19:31:32,10.93
2024/11/14,19:31:34,10.93
2024/11/14,19:31:36,10.93
2024/11/14,19:31:39,10.93
2024/11/14,19:32:09,10.93
2024/11/14,19:32:11,10.93
2024/11/14,19:32:14,10.93
2024/11/14,19:32:16,10.93
2024/11/14,19:32:18,10.93
2024/11/14,19:32:20,10.93
2024/11/14,19:32:22,10.93
2024/11/14,19:32:24,10.93
2024/11/14,19:32:26,10.93
2024/11/14,19:32:28,10.93
